instance,solver,mode,partial_k,lookahead_depth,cost,high_expanded,high_generated,low_expanded,low_generated,cpu_time_or_status,cpu_time_raw,cpu_time,instance_short,instance_short_wide,cost_astar,low_expanded_astar,low_generated_astar,cpu_time_astar,cost_lookahead,low_expanded_lookahead,low_generated_lookahead,cpu_time_lookahead,cost_partial,low_expanded_partial,low_generated_partial,cpu_time_partial
instances\test_33.txt,CBS,lookahead,,4,28,10.0,19.0,322.0,956.0,0.191923,0.191923,0.191923,test_33.txt,test_33.txt,28,322.0,956.0,0.007811,28,322.0,956.0,0.191923,28,353.0,985.0,0.008041
instances\test_34.txt,CBS,astar,,,33,3.0,5.0,84.0,283.0,0.003014,0.003014,0.003014,test_34.txt,test_34.txt,33,84.0,283.0,0.003014,33,84.0,283.0,0.041996,33,84.0,273.0,0.002015
instances\test_34.txt,CBS,partial,3,,33,3.0,5.0,84.0,273.0,0.002015,0.002015,0.002015,test_34.txt,test_34.txt,33,84.0,283.0,0.003014,33,84.0,283.0,0.041996,33,84.0,273.0,0.002015
instances\test_34.txt,CBS,lookahead,,4,33,3.0,5.0,84.0,283.0,0.041996,0.041996,0.041996,test_34.txt,test_34.txt,33,84.0,283.0,0.003014,33,84.0,283.0,0.041996,33,84.0,273.0,0.002015
instances\test_35.txt,CBS,astar,,,30,3.0,5.0,97.0,308.0,0.003999,0.003999,0.003999,test_35.txt,test_35.txt,30,97.0,308.0,0.003999,30,97.0,308.0,0.064083,30,100.0,296.0,0.005316
instances\test_35.txt,CBS,partial,3,,30,3.0,5.0,100.0,296.0,0.005316,0.005316,0.005316,test_35.txt,test_35.txt,30,97.0,308.0,0.003999,30,97.0,308.0,0.064083,30,100.0,296.0,0.005316
instances\test_35.txt,CBS,lookahead,,4,30,3.0,5.0,97.0,308.0,0.064083,0.064083,0.064083,test_35.txt,test_35.txt,30,97.0,308.0,0.003999,30,97.0,308.0,0.064083,30,100.0,296.0,0.005316
instances\test_36.txt,CBS,astar,,,23,2.0,3.0,42.0,146.0,0.001246,0.001246,0.001246,test_36.txt,test_36.txt,23,42.0,146.0,0.001246,23,42.0,146.0,0.028217,23,42.0,137.0,0.003604
instances\test_36.txt,CBS,partial,3,,23,2.0,3.0,42.0,137.0,0.003604,0.003604,0.003604,test_36.txt,test_36.txt,23,42.0,146.0,0.001246,23,42.0,146.0,0.028217,23,42.0,137.0,0.003604
instances\test_36.txt,CBS,lookahead,,4,23,2.0,3.0,42.0,146.0,0.028217,0.028217,0.028217,test_36.txt,test_36.txt,23,42.0,146.0,0.001246,23,42.0,146.0,0.028217,23,42.0,137.0,0.003604
instances\test_37.txt,CBS,astar,,,38,61.0,121.0,1397.0,5171.0,0.041615,0.041615,0.041615,test_37.txt,test_37.txt,38,1397.0,5171.0,0.041615,38,1397.0,5171.0,1.218939,38,1397.0,4858.0,0.038225
instances\test_37.txt,CBS,partial,3,,38,61.0,121.0,1397.0,4858.0,0.038225,0.038225,0.038225,test_37.txt,test_37.txt,38,1397.0,5171.0,0.041615,38,1397.0,5171.0,1.218939,38,1397.0,4858.0,0.038225
instances\test_37.txt,CBS,lookahead,,4,38,61.0,121.0,1397.0,5171.0,1.218939,1.218939,1.218939,test_37.txt,test_37.txt,38,1397.0,5171.0,0.041615,38,1397.0,5171.0,1.218939,38,1397.0,4858.0,0.038225
instances\test_38.txt,CBS,astar,,,28,1.0,1.0,33.0,116.0,0.000999,0.000999,0.000999,test_38.txt,test_38.txt,28,33.0,116.0,0.000999,28,33.0,116.0,0.018531,28,33.0,107.0,0.001417
instances\test_38.txt,CBS,partial,3,,28,1.0,1.0,33.0,107.0,0.001417,0.001417,0.001417,test_38.txt,test_38.txt,28,33.0,116.0,0.000999,28,33.0,116.0,0.018531,28,33.0,107.0,0.001417
instances\test_38.txt,CBS,lookahead,,4,28,1.0,1.0,33.0,116.0,0.018531,0.018531,0.018531,test_38.txt,test_38.txt,28,33.0,116.0,0.000999,28,33.0,116.0,0.018531,28,33.0,107.0,0.001417
instances\test_39.txt,CBS,astar,,,35,3.0,5.0,83.0,298.0,0.003000,0.003000,0.003,test_39.txt,test_39.txt,35,83.0,298.0,0.003,35,83.0,298.0,0.049782,35,83.0,284.0,0.002999
instances\test_39.txt,CBS,partial,3,,35,3.0,5.0,83.0,284.0,0.002999,0.002999,0.002999,test_39.txt,test_39.txt,35,83.0,298.0,0.003,35,83.0,298.0,0.049782,35,83.0,284.0,0.002999
instances\test_39.txt,CBS,lookahead,,4,35,3.0,5.0,83.0,298.0,0.049782,0.049782,0.049782,test_39.txt,test_39.txt,35,83.0,298.0,0.003,35,83.0,298.0,0.049782,35,83.0,284.0,0.002999
instances\test_4.txt,CBS,astar,,,32,18.0,35.0,421.0,1563.0,0.010201,0.010201,0.010201,test_4.txt,test_4.txt,32,421.0,1563.0,0.010201,32,421.0,1563.0,0.460558,32,421.0,1452.0,0.010013
instances\test_4.txt,CBS,partial,3,,32,18.0,35.0,421.0,1452.0,0.010013,0.010013,0.010013,test_4.txt,test_4.txt,32,421.0,1563.0,0.010201,32,421.0,1563.0,0.460558,32,421.0,1452.0,0.010013
instances\test_4.txt,CBS,lookahead,,4,32,18.0,35.0,421.0,1563.0,0.460558,0.460558,0.460558,test_4.txt,test_4.txt,32,421.0,1563.0,0.010201,32,421.0,1563.0,0.460558,32,421.0,1452.0,0.010013
instances\test_40.txt,CBS,astar,,,24,2.0,3.0,68.0,211.0,0.003053,0.003053,0.003053,test_40.txt,test_40.txt,24,68.0,211.0,0.003053,24,68.0,211.0,0.04503,24,70.0,191.0,0.002302
instances\test_40.txt,CBS,partial,3,,24,2.0,3.0,70.0,191.0,0.002302,0.002302,0.002302,test_40.txt,test_40.txt,24,68.0,211.0,0.003053,24,68.0,211.0,0.04503,24,70.0,191.0,0.002302
instances\test_40.txt,CBS,lookahead,,4,24,2.0,3.0,68.0,211.0,0.045030,0.045030,0.04503,test_40.txt,test_40.txt,24,68.0,211.0,0.003053,24,68.0,211.0,0.04503,24,70.0,191.0,0.002302
